Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
MyD88	FAS	FAS	214	214	214	1	175	0	0	0	0	0	-308.04	1.22	0.6	
MyD88	QSPP	QSPP	4	4	4	1	5	0	0	0	0	0	-12.76	0.8	0.6	
MyD88	LIMA1	LIMA1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	TEX30	TEX30	5	5	5	1	4	0	0	0	0	0	-7.8	1.25	0.42	
MyD88	TRI18	TRI18	6	6	6	1	4	0	0	0	0	0	-6.39	1.5	0.39	
MyD88	TRI14	TRI14	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	TRI16	TRI16	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	CORO7	CORO7	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	RELB	RELB	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	CDC16	CDC16	13	13	13	1	11	0	0	0	0	0	-20.88	1.18	0.54	
MyD88	ES1	ES1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	KPCD3	KPCD3	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	DHE3	DHE3	4	4	4	1	3	0	0	0	0	0	-5.73	1.33	0.37	
MyD88	ITPA	ITPA	5	5	5	1	6	0	0	0	0	0	-14.84	0.83	0.6	
MyD88	MLH1	MLH1	7	7	7	1	4	0.01	0.01	0.01	0.01	0.01	-5.01	1.75	0.36	
MyD88	LTN1	LTN1	14	14	14	1	21	0	0	0	0	0	-55.71	0.67	0.6	
MyD88	CTU2	CTU2	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	NS1BP	NS1BP	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	ARFG3	ARFG3	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	HD	HD	18	18	18	1	24	0	0	0	0	0	-60.06	0.75	0.6	
MyD88	NACC2	NACC2	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	MAN1	MAN1	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	HS71B	HS71B	18	18	18	1	18	0	0	0	0	0	-38.29	1	0.6	
MyD88	SIN3A	SIN3A	16	16	16	1	12	0	0	0	0	0	-20.12	1.33	0.54	
MyD88	TRAF2	TRAF2	23	23	23	1	5	1	1	1	1	1	11.04	4.6	0	
MyD88	TRAF5	TRAF5	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	RFIP5	RFIP5	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	AP4M1	AP4M1	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	KI20A	KI20A	12	12	12	1	4	0.81	0.81	0.81	0.81	0.81	1.42	3	0.03	
MyD88	SETB1	SETB1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	CHD2	CHD2	9	9	9	1	15	0	0	0	0	0	-41.84	0.6	0.6	
MyD88	RTF2	RTF2	6	6	6	1	0	1	1	1	1	1	10.04	60	0	
MyD88	ANGE2	ANGE2	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	CNTRL	CNTRL	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	AKA12	AKA12	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	TAP26	TAP26	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	PPCE	PPCE	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	PTH	PTH	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	DYL1	DYL1	3	3	3	1	4	0	0	0	0	0	-10.69	0.75	0.6	
MyD88	ST65G	ST65G	5	5	5	1	3	0.01	0.01	0.01	0.01	0.01	-4.32	1.67	0.34	
MyD88	G6PI	G6PI	12	12	12	1	5	0.15	0.15	0.15	0.15	0.15	-1.75	2.4	0.24	
MyD88	GNA12	GNA12	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	GNA13	GNA13	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	DKC1	DKC1	8	8	8	1	5	0	0	0	0	0	-7.06	1.6	0.41	
MyD88	SDHA	SDHA	21	21	21	1	15	0	0	0	0	0	-23.52	1.4	0.55	
MyD88	RNBP6	RNBP6	9	9	9	1	15	0	0	0	0	0	-41.84	0.6	0.6	
MyD88	ERR1	ERR1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	TAP2	TAP2	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	ICLN	ICLN	8	8	8	1	4	0.03	0.03	0.03	0.03	0.03	-3.66	2	0.33	
MyD88	BUB1B	BUB1B	18	18	18	1	26	0	0	0	0	0	-67.6	0.69	0.6	
MyD88	KITH	KITH	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	TMCO1	TMCO1	2	2	2	1	3	0	0	0	0	0	-8.61	0.67	0.6	
MyD88	AP1M1	AP1M1	32	32	32	1	32	0	0	0	0	0	-67.32	1	0.6	
MyD88	TMCO4	TMCO4	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	ACOD	ACOD	8	8	8	1	14	0	0	0	0	0	-39.86	0.57	0.6	
MyD88	MOCS3	MOCS3	2	2	2	1	4	0	0	0	0	0	-12.4	0.5	0.6	
MyD88	PDLI7	PDLI7	24	24	24	1	19	0	0	0	0	0	-33.2	1.26	0.57	
MyD88	WWP2	WWP2	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	NDUB7	NDUB7	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	SAR1B	SAR1B	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	NOL6	NOL6	6	6	6	1	2	0.58	0.58	0.58	0.58	0.58	0.3	3	0.05	
MyD88	SMG1	SMG1	6	6	6	1	0	1	1	1	1	1	10.04	60	0	
MyD88	SDF2	SDF2	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	SYEM	SYEM	7	7	7	1	7	0	0	0	0	0	-15.47	1	0.6	
MyD88	CDC73	CDC73	6	6	6	1	4	0	0	0	0	0	-6.39	1.5	0.39	
MyD88	DNLI1	DNLI1	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	GRWD1	GRWD1	6	6	6	1	6	0	0	0	0	0	-13.4	1	0.6	
MyD88	DNLI3	DNLI3	2	2	2	1	4	0	0	0	0	0	-12.4	0.5	0.6	
MyD88	DNLI4	DNLI4	3	3	3	1	1	0.44	0.44	0.44	0.44	0.44	-0.26	3	0.06	
MyD88	ADT2	ADT2	27	27	27	1	33	0	0	0	0	0	-78.54	0.82	0.6	
MyD88	ADT1	ADT1	7	7	7	1	5	0	0	0	0	0	-8.46	1.4	0.44	
MyD88	SYEP	SYEP	112	112	112	1	120	0	0	0	0	0	-261.64	0.93	0.6	
MyD88	ZMYM1	ZMYM1	2	2	2	1	3	0	0	0	0	0	-8.61	0.67	0.6	
MyD88	SRP14	SRP14	14	14	14	1	13	0	0	0	0	0	-26.47	1.08	0.55	
MyD88	BCAT1	BCAT1	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	F16A2	F16A2	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	COQ8B	COQ8B	7	7	7	1	9	0	0	0	0	0	-22.62	0.78	0.6	
MyD88	IFRD1	IFRD1	7	7	7	1	10	0	0	0	0	0	-26.34	0.7	0.6	
MyD88	IFRD2	IFRD2	6	6	6	1	7	0	0	0	0	0	-16.91	0.86	0.6	
MyD88	COQ8A	COQ8A	3	3	3	1	8	0	0	0	0	0	-26.29	0.38	0.6	
MyD88	RSU1	RSU1	4	4	4	1	1	0.72	0.72	0.72	0.72	0.72	0.95	4	0.03	
MyD88	HNRH1	HNRH1	26	26	26	1	15	0	0	0	0	0	-16.65	1.73	0.51	
MyD88	HNRH3	HNRH3	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	HNRH2	HNRH2	9	9	9	1	7	0	0	0	0	0	-12.6	1.29	0.48	
MyD88	H2AY	H2AY	1	1	1	1	3	0	0	0	0	0	-10.43	0.33	0.6	
MyD88	UBE4B	UBE4B	38	38	38	1	36	0	0	0	0	0	-72.72	1.06	0.59	
MyD88	UBE4A	UBE4A	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	DBNL	DBNL	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	DOPP1	DOPP1	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	AKAP2	AKAP2	5	5	5	1	2	0.28	0.28	0.28	0.28	0.28	-0.95	2.5	0.12	
MyD88	UCKL1	UCKL1	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	EIF2D	EIF2D	9	9	9	1	1	1	1	1	1	1	7.12	9	0	
MyD88	VP37A	VP37A	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	AKAP9	AKAP9	33	33	33	1	20	0	0	0	0	0	-24.16	1.65	0.55	
MyD88	EIF2A	EIF2A	13	13	13	1	8	0	0	0	0	0	-10.48	1.62	0.46	
MyD88	H2AV	H2AV	3	3	3	1	8	0	0	0	0	0	-26.29	0.38	0.6	
MyD88	LRC40	LRC40	15	15	15	1	8	0	0	0	0	0	-7.77	1.88	0.42	
MyD88	LRC41	LRC41	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	LRC42	LRC42	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	LRC47	LRC47	8	8	8	1	3	0.41	0.41	0.41	0.41	0.41	-0.38	2.67	0.11	
MyD88	GSTP1	GSTP1	4	4	4	1	2	0.09	0.09	0.09	0.09	0.09	-2.27	2	0.25	
MyD88	EFTS	EFTS	6	6	6	1	5	0	0	0	0	0	-9.88	1.2	0.45	
MyD88	EFTU	EFTU	57	57	57	1	57	0	0	0	0	0	-119.17	1	0.6	
MyD88	HAP28	HAP28	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	CAPZB	CAPZB	5	5	5	1	0	1	1	1	1	1	8.41	50	0	
MyD88	KPB1	KPB1	5	5	5	1	4	0	0	0	0	0	-7.8	1.25	0.42	
MyD88	RRP1B	RRP1B	15	15	15	1	15	0	0	0	0	0	-32.06	1	0.6	
MyD88	CK098	CK098	4	4	4	1	1	0.72	0.72	0.72	0.72	0.72	0.95	4	0.03	
MyD88	ANO6	ANO6	2	2	2	1	3	0	0	0	0	0	-8.61	0.67	0.6	
MyD88	S61A1	S61A1	12	12	12	1	15	0	0	0	0	0	-36.6	0.8	0.6	
MyD88	CELF1	CELF1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	PRS8	PRS8	18	18	18	1	18	0	0	0	0	0	-38.29	1	0.6	
MyD88	NXF1	NXF1	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	MFS10	MFS10	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	STIP1	STIP1	6	6	6	1	0	1	1	1	1	1	10.04	60	0	
MyD88	RICTR	RICTR	22	22	22	1	20	0	0	0	0	0	-39.54	1.1	0.58	
MyD88	PEG10	PEG10	5	5	5	1	2	0.28	0.28	0.28	0.28	0.28	-0.95	2.5	0.12	
MyD88	HIP1R	HIP1R	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	DYST	DYST	7	7	7	1	1	0.99	0.99	0.99	0.99	0.99	4.53	7	0	
MyD88	BMS1	BMS1	12	12	12	1	25	0	0	0	0	0	-75.3	0.48	0.6	
MyD88	TTC3	TTC3	2	2	2	1	3	0	0	0	0	0	-8.61	0.67	0.6	
MyD88	SDCG3	SDCG3	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	CETN3	CETN3	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	CETN2	CETN2	6	6	6	1	4	0	0	0	0	0	-6.39	1.5	0.39	
MyD88	HPBP1	HPBP1	3	3	3	1	1	0.44	0.44	0.44	0.44	0.44	-0.26	3	0.06	
MyD88	AHSA1	AHSA1	9	9	9	1	11	0	0	0	0	0	-26.75	0.82	0.6	
MyD88	DEP1B	DEP1B	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	TOM20	TOM20	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	NR1H3	NR1H3	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	TBA1A	TBA1A	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	TBA1C	TBA1C	9	9	9	1	13	0	0	0	0	0	-34.18	0.69	0.6	
MyD88	TBA1B	TBA1B	171	171	171	1	185	0	0	0	0	0	-405.38	0.92	0.6	
MyD88	RRP1	RRP1	15	15	15	1	16	0	0	0	0	0	-35.58	0.94	0.6	
MyD88	UCK2	UCK2	8	8	8	1	10	0	0	0	0	0	-24.68	0.8	0.6	
MyD88	SENP3	SENP3	4	4	4	1	2	0.09	0.09	0.09	0.09	0.09	-2.27	2	0.25	
MyD88	TRM2	TRM2	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	RNF41	RNF41	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	GLMN	GLMN	4	4	4	1	7	0	0	0	0	0	-20.27	0.57	0.6	
MyD88	ING5	ING5	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	DUS14	DUS14	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	ARPC4	ARPC4	8	8	8	1	7	0	0	0	0	0	-14.02	1.14	0.49	
MyD88	ING1	ING1	1	1	1	1	3	0	0	0	0	0	-10.43	0.33	0.6	
MyD88	ING2	ING2	1	1	1	1	3	0	0	0	0	0	-10.43	0.33	0.6	
MyD88	LRMDA	LRMDA	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	NPA1P	NPA1P	4	4	4	1	12	0	0	0	0	0	-40.36	0.33	0.6	
MyD88	CHK1	CHK1	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	RING1	RING1	4	4	4	1	3	0	0	0	0	0	-5.73	1.33	0.37	
MyD88	ACL6A	ACL6A	18	18	18	1	21	0	0	0	0	0	-48.99	0.86	0.6	
MyD88	WDFY3	WDFY3	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	KPBB	KPBB	5	5	5	1	11	0	0	0	0	0	-34.04	0.45	0.6	
MyD88	RRP12	RRP12	33	33	33	1	59	0	0	0	0	0	-167.24	0.56	0.6	
MyD88	GFPT1	GFPT1	29	29	29	1	21	0	0	0	0	0	-33.11	1.38	0.57	
MyD88	GFPT2	GFPT2	9	9	9	1	3	0.7	0.7	0.7	0.7	0.7	0.86	3	0.04	
MyD88	TTC38	TTC38	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	PARK7	PARK7	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	RBP56	RBP56	6	6	6	1	1	0.96	0.96	0.96	0.96	0.96	3.27	6	0	
MyD88	NPL4	NPL4	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	B4GT1	B4GT1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	SNIP1	SNIP1	4	4	4	1	2	0.09	0.09	0.09	0.09	0.09	-2.27	2	0.25	
MyD88	PPM1F	PPM1F	4	4	4	1	2	0.09	0.09	0.09	0.09	0.09	-2.27	2	0.25	
MyD88	PRKDC	PRKDC	283	283	283	1	340	0	0	0	0	0	#NAME?	0.83	0.6	
MyD88	MP2K7	MP2K7	2	2	2	1	5	0	0	0	0	0	-16.35	0.4	0.6	
MyD88	MKRN2	MKRN2	5	5	5	1	4	0	0	0	0	0	-7.8	1.25	0.42	
MyD88	HTF4	HTF4	2	2	2	1	5	0	0	0	0	0	-16.35	0.4	0.6	
MyD88	TBB5	TBB5	25	25	25	1	34	0	0	0	0	0	-85.6	0.74	0.6	
MyD88	CDIPT	CDIPT	5	5	5	1	7	0	0	0	0	0	-18.5	0.71	0.6	
MyD88	RL19	RL19	47	47	47	1	72	0	0	0	0	0	-191.02	0.65	0.6	
MyD88	RL18	RL18	17	17	17	1	26	0	0	0	0	0	-69.4	0.65	0.6	
MyD88	MP2K4	MP2K4	3	3	3	1	1	0.44	0.44	0.44	0.44	0.44	-0.26	3	0.06	
MyD88	CISY	CISY	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	RL11	RL11	37	37	37	1	37	0	0	0	0	0	-77.69	1	0.6	
MyD88	MP2K3	MP2K3	18	18	18	1	17	0	0	0	0	0	-34.76	1.06	0.57	
MyD88	RL13	RL13	54	54	54	1	64	0	0	0	0	0	-148.87	0.84	0.6	
MyD88	RL12	RL12	6	6	6	1	8	0	0	0	0	0	-20.56	0.75	0.6	
MyD88	RL15	RL15	22	22	22	1	22	0	0	0	0	0	-46.58	1	0.6	
MyD88	RL14	RL14	12	12	12	1	10	0	0	0	0	0	-18.81	1.2	0.53	
MyD88	RL17	RL17	59	59	59	1	71	0	0	0	0	0	-166.51	0.83	0.6	
MyD88	MP2K2	MP2K2	14	14	14	1	13	0	0	0	0	0	-26.47	1.08	0.55	
MyD88	MCA3	MCA3	9	9	9	1	8	0	0	0	0	0	-16.1	1.12	0.51	
MyD88	MP2K1	MP2K1	7	7	7	1	0	1	1	1	1	1	11.65	70	0	
MyD88	DDB2	DDB2	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	DDB1	DDB1	4	4	4	1	1	0.72	0.72	0.72	0.72	0.72	0.95	4	0.03	
MyD88	P4HTM	P4HTM	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	RIF1	RIF1	12	12	12	1	10	0	0	0	0	0	-18.81	1.2	0.53	
MyD88	CEP44	CEP44	3	3	3	1	4	0	0	0	0	0	-10.69	0.75	0.6	
MyD88	VINC	VINC	10	10	10	1	0	1	1	1	1	1	16.34	100	0	
MyD88	PEX3	PEX3	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	IDHC	IDHC	4	4	4	1	0	1	1	1	1	1	6.73	40	0	
MyD88	MCAT	MCAT	3	3	3	1	6	0	0	0	0	0	-18.29	0.5	0.6	
MyD88	CCD47	CCD47	31	31	31	1	29	0	0	0	0	0	-58.21	1.07	0.59	
MyD88	RPC5	RPC5	4	4	4	1	1	0.72	0.72	0.72	0.72	0.72	0.95	4	0.03	
MyD88	RPC4	RPC4	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	RPC3	RPC3	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	RPC2	RPC2	5	5	5	1	1	0.89	0.89	0.89	0.89	0.89	2.06	5	0.02	
MyD88	RPC1	RPC1	21	21	21	1	23	0	0	0	0	0	-51.59	0.91	0.6	
MyD88	S38A5	S38A5	6	6	6	1	2	0.58	0.58	0.58	0.58	0.58	0.3	3	0.05	
MyD88	TBCD	TBCD	27	27	27	1	28	0	0	0	0	0	-60.47	0.96	0.6	
MyD88	WDR47	WDR47	3	3	3	1	1	0.44	0.44	0.44	0.44	0.44	-0.26	3	0.06	
MyD88	S38A1	S38A1	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	LMO7	LMO7	17	17	17	1	6	0.79	0.79	0.79	0.79	0.79	1.32	2.83	0.03	
MyD88	UBFD1	UBFD1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	RPN1	RPN1	19	19	19	1	25	0	0	0	0	0	-62.1	0.76	0.6	
MyD88	RS9	RS9	25	25	25	1	26	0	0	0	0	0	-56.32	0.96	0.6	
MyD88	WDR82	WDR82	7	7	7	1	4	0.01	0.01	0.01	0.01	0.01	-5.01	1.75	0.36	
MyD88	ITCH	ITCH	13	13	13	1	11	0	0	0	0	0	-20.88	1.18	0.54	
MyD88	CRNL1	CRNL1	5	5	5	1	1	0.89	0.89	0.89	0.89	0.89	2.06	5	0.02	
MyD88	ODR4	ODR4	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	ADPPT	ADPPT	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	MCRS1	MCRS1	4	4	4	1	4	0	0	0	0	0	-9.25	1	0.6	
MyD88	CMTD1	CMTD1	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	NDE1	NDE1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	TRAM1	TRAM1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	MLKL	MLKL	12	12	12	1	5	0.15	0.15	0.15	0.15	0.15	-1.75	2.4	0.24	
MyD88	AFAP1	AFAP1	2	2	2	1	3	0	0	0	0	0	-8.61	0.67	0.6	
MyD88	KCRB	KCRB	8	8	8	1	5	0	0	0	0	0	-7.06	1.6	0.41	
MyD88	ERAL1	ERAL1	14	14	14	1	15	0	0	0	0	0	-33.51	0.93	0.6	
MyD88	ZFY26	ZFY26	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	DDX17	DDX17	16	16	16	1	4	1	1	1	1	1	6.07	4	0	
MyD88	RS7	RS7	66	66	66	1	71	0	0	0	0	0	-155.58	0.93	0.6	
MyD88	BIRC2	BIRC2	4	4	4	1	0	1	1	1	1	1	6.73	40	0	
MyD88	MET16	MET16	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	DDX10	DDX10	3	3	3	1	4	0	0	0	0	0	-10.69	0.75	0.6	
MyD88	DDX11	DDX11	5	5	5	1	3	0.01	0.01	0.01	0.01	0.01	-4.32	1.67	0.34	
MyD88	CDK12	CDK12	29	29	29	1	45	0	0	0	0	0	-120.36	0.64	0.6	
MyD88	DDX18	DDX18	12	12	12	1	9	0	0	0	0	0	-15.32	1.33	0.5	
MyD88	KLF5	KLF5	3	3	3	1	1	0.44	0.44	0.44	0.44	0.44	-0.26	3	0.06	
MyD88	RBM25	RBM25	6	6	6	1	9	0	0	0	0	0	-24.3	0.67	0.6	
MyD88	TPC10	TPC10	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	IMA7	IMA7	16	16	16	1	23	0	0	0	0	0	-59.75	0.7	0.6	
MyD88	ACSL3	ACSL3	31	31	31	1	31	0	0	0	0	0	-65.25	1	0.6	
MyD88	EFR3A	EFR3A	8	8	8	1	6	0	0	0	0	0	-10.52	1.33	0.46	
MyD88	CLH1	CLH1	142	142	142	1	160	0	0	0	0	0	-359.79	0.89	0.6	
MyD88	GLCNE	GLCNE	17	17	17	1	5	0.99	0.99	0.99	0.99	0.99	4.36	3.4	0	
MyD88	AASD1	AASD1	11	11	11	1	9	0	0	0	0	0	-16.74	1.22	0.51	
MyD88	FBN1	FBN1	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	DP13A	DP13A	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	AIFM2	AIFM2	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	CP20A	CP20A	7	7	7	1	7	0	0	0	0	0	-15.47	1	0.6	
MyD88	QCR1	QCR1	30	30	30	1	35	0	0	0	0	0	-81.06	0.86	0.6	
MyD88	CP062	CP062	20	20	20	1	23	0	0	0	0	0	-53.12	0.87	0.6	
MyD88	NU214	NU214	8	8	8	1	3	0.41	0.41	0.41	0.41	0.41	-0.38	2.67	0.11	
MyD88	TFG	TFG	8	8	8	1	0	1	1	1	1	1	13.23	80	0	
MyD88	NUP35	NUP35	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	NUP37	NUP37	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	NCLN	NCLN	18	18	18	1	17	0	0	0	0	0	-34.76	1.06	0.57	
MyD88	CPIN1	CPIN1	4	4	4	1	0	1	1	1	1	1	6.73	40	0	
MyD88	DALD3	DALD3	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	VPS28	VPS28	4	4	4	1	0	1	1	1	1	1	6.73	40	0	
MyD88	CHERP	CHERP	11	11	11	1	7	0	0	0	0	0	-9.8	1.57	0.45	
MyD88	TGM2	TGM2	31	31	31	1	8	1	1	1	1	1	11.79	3.88	0	
MyD88	VPS29	VPS29	4	4	4	1	1	0.72	0.72	0.72	0.72	0.72	0.95	4	0.03	
MyD88	D19L1	D19L1	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	IDI1	IDI1	4	4	4	1	4	0	0	0	0	0	-9.25	1	0.6	
MyD88	VATA	VATA	19	19	19	1	18	0	0	0	0	0	-36.84	1.06	0.57	
MyD88	SYTM	SYTM	11	11	11	1	5	0.05	0.05	0.05	0.05	0.05	-3.04	2.2	0.29	
MyD88	VATD	VATD	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	VATH	VATH	12	12	12	1	14	0	0	0	0	0	-32.95	0.86	0.6	
MyD88	FBW1B	FBW1B	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	EIF3I	EIF3I	13	13	13	1	4	0.93	0.93	0.93	0.93	0.93	2.62	3.25	0.02	
MyD88	GNL1	GNL1	14	14	14	1	16	0	0	0	0	0	-37.09	0.88	0.6	
MyD88	EIF3K	EIF3K	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	EIF3L	EIF3L	32	32	32	1	5	1	1	1	1	1	20.8	6.4	0	
MyD88	EIF3M	EIF3M	11	11	11	1	10	0	0	0	0	0	-20.25	1.1	0.54	
MyD88	RS27L	RS27L	6	6	6	1	4	0	0	0	0	0	-6.39	1.5	0.39	
MyD88	EIF3B	EIF3B	32	32	32	1	18	0	0	0	0	0	-18.72	1.78	0.53	
MyD88	EIF3C	EIF3C	23	23	23	1	12	0	0	0	0	0	-10.55	1.92	0.47	
MyD88	EIF3D	EIF3D	23	23	23	1	10	0.02	0.02	0.02	0.02	0.02	-3.93	2.3	0.34	
MyD88	PELO	PELO	12	12	12	1	11	0	0	0	0	0	-22.32	1.09	0.54	
MyD88	WRP73	WRP73	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	EIF3G	EIF3G	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	MTMR9	MTMR9	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	FADD	FADD	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	ELOV1	ELOV1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	MTMR6	MTMR6	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
